pollster,deposit_date,entity,metric,value
EMG,17/10/2025,Giorgia Meloni,fiducia_pct,46.0
EMG,17/10/2025,Antonio Tajani,fiducia_pct,34.0
EMG,17/10/2025,Giuseppe Conte,fiducia_pct,30.0
EMG,17/10/2025,Elly Schlein,fiducia_pct,30.0
EMG,17/10/2025,Matteo Salvini,fiducia_pct,28.0
EMG,17/10/2025,Emma Bonino,fiducia_pct,25.0
EMG,17/10/2025,Maurizio Lupi,fiducia_pct,23.0
EMG,17/10/2025,Nicola Fratoianni,fiducia_pct,22.0
EMG,17/10/2025,Angelo Bonelli,fiducia_pct,21.0
EMG,17/10/2025,Luigi Marattin,fiducia_pct,21.0
EMG,17/10/2025,Carlo Calenda,fiducia_pct,17.0
EMG,17/10/2025,Matteo Renzi,fiducia_pct,17.0
EMG,17/10/2025,Governo,fiducia_pct,43.0
Tecnè,17/10/2025,Governo,giudizi_positivi_pct,43.0
Termometro Politico,13/10/2025,Giorgia Meloni,fiducia_pct,40.6
Tecnè,10/10/2025,Governo,giudizi_positivi_pct,42.8
BiDiMedia,10/10/2025,Giorgia Meloni,fiducia_pct,37.0
BiDiMedia,10/10/2025,Governo,fiducia_pct,35.0
Tecnè,08/10/2025,Global Sumud Flotilla,giudizi_positivi_pct,52.0
Termometro Politico,06/10/2025,Giorgia Meloni,fiducia_pct,39.6
EMG,03/10/2025,Sergio Mattarella,fiducia_pct,70.0
EMG,03/10/2025,Giorgia Meloni,fiducia_pct,45.0
EMG,03/10/2025,Antonio Tajani,fiducia_pct,35.0
EMG,03/10/2025,Giuseppe Conte,fiducia_pct,30.0
EMG,03/10/2025,Elly Schlein,fiducia_pct,29.0
EMG,03/10/2025,Matteo Salvini,fiducia_pct,28.0
EMG,03/10/2025,Emma Bonino,fiducia_pct,25.0
EMG,03/10/2025,Maurizio Lupi,fiducia_pct,22.0
EMG,03/10/2025,Angelo Bonelli,fiducia_pct,21.0
EMG,03/10/2025,Nicola Fratoianni,fiducia_pct,21.0
EMG,03/10/2025,Carlo Calenda,fiducia_pct,17.0
EMG,03/10/2025,Matteo Renzi,fiducia_pct,16.0
EMG,03/10/2025,Governo,fiducia_pct,44.0
Tecnè,03/10/2025,Governo,fiducia_pct,42.5
Eumetra,03/10/2025,Giuseppe Conte,voto_medio_1_10,4.08
Eumetra,03/10/2025,Antonio Tajani,voto_medio_1_10,3.5
Eumetra,03/10/2025,Matteo Salvini,voto_medio_1_10,3.02
Eumetra,03/10/2025,Giorgia Meloni,voto_medio_1_10,4.56
Eumetra,03/10/2025,Matteo Renzi,voto_medio_1_10,2.42
Eumetra,03/10/2025,Carlo Calenda,voto_medio_1_10,2.49
Eumetra,03/10/2025,Emma Bonino,voto_medio_1_10,2.77
Eumetra,03/10/2025,Nicola Fratoianni,voto_medio_1_10,2.14
Eumetra,03/10/2025,Roberto Vannacci,voto_medio_1_10,2.57
Eumetra,03/10/2025,Angelo Bonelli,voto_medio_1_10,2.23
Termometro Politico,29/09/2025,Giorgia Meloni,fiducia_pct,39.5
Demos&Pi,29/09/2025,Beppe Grillo,giudizi_positivi_pct,17.0
Demos&Pi,29/09/2025,Matteo Renzi,giudizi_positivi_pct,21.0
Demos&Pi,29/09/2025,Carlo Calenda,giudizi_positivi_pct,22.0
Demos&Pi,29/09/2025,Angelo Bonelli,giudizi_positivi_pct,23.0
Demos&Pi,29/09/2025,Nicola Fratoianni,giudizi_positivi_pct,23.0
Demos&Pi,29/09/2025,Matteo Salvini,giudizi_positivi_pct,25.0
Demos&Pi,29/09/2025,Elly Schlein,giudizi_positivi_pct,26.0
Demos&Pi,29/09/2025,Emma Bonino,giudizi_positivi_pct,28.0
Demos&Pi,29/09/2025,Antonio Tajani,giudizi_positivi_pct,32.0
Demos&Pi,29/09/2025,Giuseppe Conte,giudizi_positivi_pct,35.0
Demos&Pi,29/09/2025,Giorgia Meloni,giudizi_positivi_pct,37.0
Demos&Pi,29/09/2025,Benjamin Netanyahu,giudizi_positivi_pct,12.0
Demos&Pi,29/09/2025,Vladimir Putin,giudizi_positivi_pct,20.0
Demos&Pi,29/09/2025,Donald Trump,giudizi_positivi_pct,22.0
Demos&Pi,29/09/2025,Volodymyr Zelenskyy,giudizi_positivi_pct,29.0
Ixè,26/09/2025,Unione Europea,fiducia_pct,42.0
Tecnè,26/09/2025,Governo,giudizi_positivi_pct,42.5
Tecnè,19/09/2025,Governo,giudizi_positivi_pct,42.6
Termometro Politico,19/09/2025,Giorgia Meloni,fiducia_pct,37.9
BiDiMedia,18/09/2025,Giorgia Meloni,fiducia_pct,38.0
BiDiMedia,18/09/2025,Governo,fiducia_pct,36.0
Tecnè,18/09/2025,Governo,fiducia_pct,42.6
Tecnè,18/09/2025,Giorgia Meloni,fiducia_pct,45.8
Tecnè,12/09/2025,Governo,giudizi_positivi_pct,42.7
Termometro Politico,12/09/2025,Giorgia Meloni,fiducia_pct,38.0
Youtrend,09/09/2025,Governo,giudizi_positivi_pct,34.0
SWG,09/09/2025,Donald Trump,fiducia_pct,17.0
Termometro Politico,08/09/2025,Giorgia Meloni,fiducia_pct,36.3
BiDiMedia,29/08/2025,Giorgia Meloni,fiducia_pct,38.0
BiDiMedia,29/08/2025,Governo,fiducia_pct,36.0
Termometro Politico,07/08/2025,Giorgia Meloni,fiducia_pct,36.9
Termometro Politico,04/08/2025,Giorgia Meloni,fiducia_pct,36.3
Only Numbers,29/07/2025,Giorgia Meloni,fiducia_pct,36.0
Termometro Politico,28/07/2025,Giorgia Meloni,fiducia_pct,37.4
Ipsos,26/07/2025,Giuseppe Conte,giudizi_positivi_pct,26.0
Ipsos,26/07/2025,Elly Schlein,giudizi_positivi_pct,24.0
Ipsos,26/07/2025,Matteo Salvini,giudizi_positivi_pct,23.0
Ipsos,26/07/2025,Nicola Fratoianni,giudizi_positivi_pct,20.0
Ipsos,26/07/2025,Angelo Bonelli,giudizi_positivi_pct,20.0
Ipsos,26/07/2025,Maurizio Lupi,giudizi_positivi_pct,18.0
Ipsos,26/07/2025,Riccardo Magi,giudizi_positivi_pct,18.0
Ipsos,26/07/2025,Carlo Calenda,giudizi_positivi_pct,16.0
Ipsos,26/07/2025,Matteo Renzi,giudizi_positivi_pct,13.0
Tecnè,25/07/2025,Governo,fiducia_pct,43.0
Termometro Politico,21/07/2025,Giorgia Meloni,fiducia_pct,36.2
Tecnè,18/07/2025,Governo,fiducia_pct,43.1
Youtrend,16/07/2025,Governo,giudizi_positivi_pct,34.0
Youtrend,16/07/2025,Giorgia Meloni,giudizi_positivi_pct,34.0
Youtrend,16/07/2025,Matteo Salvini,giudizi_positivi_pct,23.0
Youtrend,16/07/2025,Antonio Tajani,giudizi_positivi_pct,20.0
Youtrend,16/07/2025,Matteo Piantedosi,giudizi_positivi_pct,25.0
Youtrend,16/07/2025,Guido Crosetto,giudizi_positivi_pct,33.0
Youtrend,16/07/2025,Giancarlo Giorgetti,giudizi_positivi_pct,33.0
Youtrend,16/07/2025,Carlo Nordio,giudizi_positivi_pct,25.0
Youtrend,16/07/2025,Francesco Lollobrigida,giudizi_positivi_pct,19.0
Youtrend,16/07/2025,Giuseppe Valditara,giudizi_positivi_pct,23.0
Youtrend,16/07/2025,Anna Maria Bernini,giudizi_positivi_pct,20.0
Youtrend,16/07/2025,Alessandro Giuli,giudizi_positivi_pct,19.0
Youtrend,16/07/2025,Daniela Santanchè,giudizi_positivi_pct,11.0
Youtrend,16/07/2025,Eugenia Roccella,giudizi_positivi_pct,15.0
Youtrend,16/07/2025,Maria Elisabetta Alberti Casellati,giudizi_positivi_pct,19.0
Youtrend,16/07/2025,Adolfo Urso,giudizi_positivi_pct,17.0
Youtrend,16/07/2025,Roberto Calderoli,giudizi_positivi_pct,19.0
Youtrend,16/07/2025,Nello Musumeci,giudizi_positivi_pct,21.0
Youtrend,16/07/2025,Gilberto Pichetto Fratin,giudizi_positivi_pct,16.0
Youtrend,16/07/2025,Marina Elvira Calderone,giudizi_positivi_pct,17.0
Youtrend,16/07/2025,Orazio Schillaci,giudizi_positivi_pct,18.0
Youtrend,16/07/2025,Tommaso Foti,giudizi_positivi_pct,19.0
Youtrend,16/07/2025,Luca Ciriani,giudizi_positivi_pct,14.0
Youtrend,16/07/2025,Paolo Zangrillo,giudizi_positivi_pct,19.0
Youtrend,16/07/2025,Andrea Abodi,giudizi_positivi_pct,16.0
Youtrend,16/07/2025,Alessandra Locatelli,giudizi_positivi_pct,15.0
Termometro Politico,14/07/2025,Giorgia Meloni,fiducia_pct,36.9
Tecnè,11/07/2025,Governo,fiducia_pct,43.0
Youtrend,09/07/2025,Governo,fiducia_pct,34.0
Termometro Politico,07/07/2025,Giorgia Meloni,fiducia_pct,36.6
Tecnè,04/07/2025,Governo,fiducia_pct,43.0
Winpoll,02/07/2025,Leone XIV,fiducia_pct,70.0
Termometro Politico,01/07/2025,Giorgia Meloni,fiducia_pct,40.5
